LocationType,Location,Category,TimeFrame,DataFormat,Data
State,Connecticut,vocational certificate,Age 21,Percent,0.11
State,Connecticut,high school or ged,Age 21,Percent,0.76
State,Connecticut,high school or ged,Age 21,Number,122
State,Connecticut,vocational certificate,Age 21,Number,18
State,Connecticut,vocational license,Age 21,Number,S
State,Connecticut,Associate Degree,Age 21,Number,S
State,Connecticut,bachelor degree,Age 21,Number,S
State,Connecticut,higher degree,Age 21,Number,S
State,Connecticut,none of the above,Age 21,Number,14
State,Connecticut,Declined,Age 21,Number,S
State,Connecticut,blank,Age 21,Number,S
State,Connecticut,high school or ged,Age 19,Number,128
State,Connecticut,vocational certificate,Age 19,Number,S
State,Connecticut,vocational license,Age 19,Number,S
State,Connecticut,Associate Degree,Age 19,Number,S
State,Connecticut,bachelor degree,Age 19,Number,S
State,Connecticut,higher degree,Age 19,Number,S
State,Connecticut,none of the above,Age 19,Number,74
State,Connecticut,Declined,Age 19,Number,S
State,Connecticut,blank,Age 19,Number,S
State,Connecticut,blank,Age 19,Percent,S
State,Connecticut,Declined,Age 19,Percent,S
State,Connecticut,none of the above,Age 19,Percent,0.36
State,Connecticut,higher degree,Age 19,Percent,S
State,Connecticut,bachelor degree,Age 19,Percent,S
State,Connecticut,Associate Degree,Age 19,Percent,S
State,Connecticut,vocational license,Age 19,Percent,S
State,Connecticut,vocational certificate,Age 19,Percent,S
State,Connecticut,high school or ged,Age 19,Percent,0.63
State,Connecticut,blank,Age 17,Percent,S
State,Connecticut,Declined,Age 17,Percent,S
State,Connecticut,none of the above,Age 17,Percent,0.97
State,Connecticut,higher degree,Age 17,Percent,S
State,Connecticut,bachelor degree,Age 17,Percent,S
State,Connecticut,Associate Degree,Age 17,Percent,S
State,Connecticut,vocational license,Age 17,Percent,S
State,Connecticut,vocational certificate,Age 17,Percent,S
State,Connecticut,high school or ged,Age 17,Percent,S
State,Connecticut,high school or ged,Age 17,Number,S
State,Connecticut,vocational certificate,Age 17,Number,S
State,Connecticut,vocational license,Age 17,Number,S
State,Connecticut,Associate Degree,Age 17,Number,S
State,Connecticut,bachelor degree,Age 17,Number,S
State,Connecticut,higher degree,Age 17,Number,S
State,Connecticut,none of the above,Age 17,Number,290
State,Connecticut,Declined,Age 17,Number,S
State,Connecticut,blank,Age 17,Number,S
State,Delaware,high school or ged,Age 17,Number,S
State,Delaware,vocational certificate,Age 17,Number,S
State,Delaware,vocational license,Age 17,Number,S
State,Delaware,Associate Degree,Age 17,Number,S
State,Delaware,bachelor degree,Age 17,Number,S
State,Delaware,higher degree,Age 17,Number,S
State,Delaware,none of the above,Age 17,Number,64
State,Delaware,Declined,Age 17,Number,S
State,Delaware,blank,Age 17,Number,S
State,Delaware,blank,Age 17,Percent,S
State,Delaware,Declined,Age 17,Percent,S
State,Delaware,none of the above,Age 17,Percent,0.93
State,Delaware,higher degree,Age 17,Percent,S
State,Delaware,bachelor degree,Age 17,Percent,S
State,Delaware,Associate Degree,Age 17,Percent,S
State,Delaware,vocational license,Age 17,Percent,S
State,Delaware,vocational certificate,Age 17,Percent,S
State,Delaware,high school or ged,Age 17,Percent,S
State,Delaware,blank,Age 19,Percent,S
State,Delaware,Declined,Age 19,Percent,S
State,Delaware,none of the above,Age 19,Percent,0.42
State,Delaware,higher degree,Age 19,Percent,S
State,Delaware,bachelor degree,Age 19,Percent,S
State,Delaware,Associate Degree,Age 19,Percent,S
State,Delaware,vocational license,Age 19,Percent,S
State,Delaware,vocational certificate,Age 19,Percent,S
State,Delaware,high school or ged,Age 19,Percent,0.53
State,Delaware,high school or ged,Age 19,Number,24
State,Delaware,vocational certificate,Age 19,Number,S
State,Delaware,vocational license,Age 19,Number,S
State,Delaware,Associate Degree,Age 19,Number,S
State,Delaware,bachelor degree,Age 19,Number,S
State,Delaware,higher degree,Age 19,Number,S
State,Delaware,none of the above,Age 19,Number,19
State,Delaware,Declined,Age 19,Number,S
State,Delaware,blank,Age 19,Number,S
State,Delaware,high school or ged,Age 21,Number,25
State,Delaware,vocational certificate,Age 21,Number,S
State,Delaware,vocational license,Age 21,Number,S
State,Delaware,Associate Degree,Age 21,Number,S
State,Delaware,bachelor degree,Age 21,Number,S
State,Delaware,higher degree,Age 21,Number,S
State,Delaware,none of the above,Age 21,Number,S
State,Delaware,Declined,Age 21,Number,S
State,Delaware,blank,Age 21,Number,S
State,Delaware,blank,Age 21,Percent,S
State,Delaware,Declined,Age 21,Percent,S
State,Delaware,none of the above,Age 21,Percent,S
State,Delaware,higher degree,Age 21,Percent,S
State,Delaware,bachelor degree,Age 21,Percent,S
State,Delaware,Associate Degree,Age 21,Percent,S
State,Delaware,vocational license,Age 21,Percent,S
State,Delaware,vocational certificate,Age 21,Percent,S
State,Delaware,high school or ged,Age 21,Percent,0.68
City,District of Columbia,high school or ged,Age 21,Number,36
City,District of Columbia,vocational certificate,Age 21,Number,S
City,District of Columbia,vocational license,Age 21,Number,S
City,District of Columbia,Associate Degree,Age 21,Number,S
City,District of Columbia,bachelor degree,Age 21,Number,S
City,District of Columbia,higher degree,Age 21,Number,S
City,District of Columbia,none of the above,Age 21,Number,S
City,District of Columbia,Declined,Age 21,Number,S
City,District of Columbia,blank,Age 21,Number,S
City,District of Columbia,high school or ged,Age 19,Number,24
City,District of Columbia,vocational certificate,Age 19,Number,S
City,District of Columbia,vocational license,Age 19,Number,S
City,District of Columbia,Associate Degree,Age 19,Number,S
City,District of Columbia,bachelor degree,Age 19,Number,S
City,District of Columbia,higher degree,Age 19,Number,S
City,District of Columbia,none of the above,Age 19,Number,12
City,District of Columbia,Declined,Age 19,Number,S
City,District of Columbia,blank,Age 19,Number,S
City,District of Columbia,blank,Age 21,Percent,S
City,District of Columbia,Declined,Age 21,Percent,S
City,District of Columbia,none of the above,Age 21,Percent,S
City,District of Columbia,higher degree,Age 21,Percent,S
City,District of Columbia,bachelor degree,Age 21,Percent,S
City,District of Columbia,Associate Degree,Age 21,Percent,S
City,District of Columbia,vocational license,Age 21,Percent,S
City,District of Columbia,vocational certificate,Age 21,Percent,S
City,District of Columbia,high school or ged,Age 21,Percent,0.8
City,District of Columbia,blank,Age 19,Percent,S
City,District of Columbia,Declined,Age 19,Percent,S
City,District of Columbia,none of the above,Age 19,Percent,0.33
City,District of Columbia,higher degree,Age 19,Percent,S
City,District of Columbia,bachelor degree,Age 19,Percent,S
City,District of Columbia,Associate Degree,Age 19,Percent,S
City,District of Columbia,vocational license,Age 19,Percent,S
City,District of Columbia,vocational certificate,Age 19,Percent,S
City,District of Columbia,high school or ged,Age 19,Percent,0.67
City,District of Columbia,blank,Age 17,Percent,S
City,District of Columbia,Declined,Age 17,Percent,S
City,District of Columbia,none of the above,Age 17,Percent,0.9
City,District of Columbia,higher degree,Age 17,Percent,S
City,District of Columbia,bachelor degree,Age 17,Percent,S
City,District of Columbia,Associate Degree,Age 17,Percent,S
City,District of Columbia,vocational license,Age 17,Percent,S
City,District of Columbia,vocational certificate,Age 17,Percent,S
City,District of Columbia,high school or ged,Age 17,Percent,S
City,District of Columbia,high school or ged,Age 17,Number,S
City,District of Columbia,vocational certificate,Age 17,Number,S
City,District of Columbia,vocational license,Age 17,Number,S
City,District of Columbia,Associate Degree,Age 17,Number,S
City,District of Columbia,bachelor degree,Age 17,Number,S
City,District of Columbia,higher degree,Age 17,Number,S
City,District of Columbia,none of the above,Age 17,Number,71
City,District of Columbia,Declined,Age 17,Number,S
City,District of Columbia,blank,Age 17,Number,S
State,Florida,high school or ged,Age 17,Number,19
State,Florida,vocational certificate,Age 17,Number,S
State,Florida,vocational license,Age 17,Number,S
State,Florida,Associate Degree,Age 17,Number,S
State,Florida,bachelor degree,Age 17,Number,S
State,Florida,higher degree,Age 17,Number,S
State,Florida,none of the above,Age 17,Number,470
State,Florida,Declined,Age 17,Number,S
State,Florida,blank,Age 17,Number,S
State,Florida,blank,Age 17,Percent,S
State,Florida,Declined,Age 17,Percent,S
State,Florida,none of the above,Age 17,Percent,0.95
State,Florida,higher degree,Age 17,Percent,S
State,Florida,bachelor degree,Age 17,Percent,S
State,Florida,Associate Degree,Age 17,Percent,S
State,Florida,vocational license,Age 17,Percent,S
State,Florida,vocational certificate,Age 17,Percent,S
State,Florida,high school or ged,Age 17,Percent,0.04
State,Florida,blank,Age 19,Percent,S
State,Florida,Declined,Age 19,Percent,0.06
State,Florida,none of the above,Age 19,Percent,0.35
State,Florida,higher degree,Age 19,Percent,S
State,Florida,bachelor degree,Age 19,Percent,S
State,Florida,Associate Degree,Age 19,Percent,S
State,Florida,vocational license,Age 19,Percent,S
State,Florida,vocational certificate,Age 19,Percent,S
State,Florida,high school or ged,Age 19,Percent,0.58
State,Florida,blank,Age 21,Percent,S
State,Florida,Declined,Age 21,Percent,0.04
State,Florida,none of the above,Age 21,Percent,0.29
State,Florida,higher degree,Age 21,Percent,S
State,Florida,bachelor degree,Age 21,Percent,S
State,Florida,Associate Degree,Age 21,Percent,0.03
State,Florida,vocational license,Age 21,Percent,S
State,Florida,vocational certificate,Age 21,Percent,S
State,Florida,high school or ged,Age 21,Percent,0.61
State,Florida,high school or ged,Age 19,Number,178
State,Florida,vocational certificate,Age 19,Number,S
State,Florida,vocational license,Age 19,Number,S
State,Florida,Associate Degree,Age 19,Number,S
State,Florida,bachelor degree,Age 19,Number,S
State,Florida,higher degree,Age 19,Number,S
State,Florida,none of the above,Age 19,Number,108
State,Florida,Declined,Age 19,Number,17
State,Florida,blank,Age 19,Number,S
State,Florida,high school or ged,Age 21,Number,194
State,Florida,vocational certificate,Age 21,Number,S
State,Florida,vocational license,Age 21,Number,S
State,Florida,Associate Degree,Age 21,Number,10
State,Florida,bachelor degree,Age 21,Number,S
State,Florida,higher degree,Age 21,Number,S
State,Florida,none of the above,Age 21,Number,91
State,Florida,Declined,Age 21,Number,12
State,Florida,blank,Age 21,Number,S
State,Georgia,high school or ged,Age 21,Number,97
State,Georgia,vocational certificate,Age 21,Number,S
State,Georgia,vocational license,Age 21,Number,S
State,Georgia,Associate Degree,Age 21,Number,S
