LocationType,Location,TimeFrame,DataFormat,Data
State,South Carolina,2004,"Rate per 1,000",5
State,South Dakota,2004,"Rate per 1,000",8
State,Rhode Island,2004,"Rate per 1,000",10
State,Pennsylvania,2004,"Rate per 1,000",8
State,Oregon,2004,"Rate per 1,000",12
State,Oklahoma,2004,"Rate per 1,000",13
State,Ohio,2004,"Rate per 1,000",6
State,North Dakota,2004,"Rate per 1,000",9
State,North Carolina,2004,"Rate per 1,000",5
State,New York,2004,"Rate per 1,000",7
State,New Mexico,2004,"Rate per 1,000",4
State,New Jersey,2004,"Rate per 1,000",6
State,New Hampshire,2004,"Rate per 1,000",4
State,Nebraska,2004,"Rate per 1,000",14
State,Nevada,2004,"Rate per 1,000",7
State,Montana,2004,"Rate per 1,000",9
State,Mississippi,2004,"Rate per 1,000",4
State,Missouri,2004,"Rate per 1,000",8
State,Minnesota,2004,"Rate per 1,000",5
State,Michigan,2004,"Rate per 1,000",8
State,Massachusetts,2004,"Rate per 1,000",8
State,Maryland,2004,"Rate per 1,000",8
State,Maine,2004,"Rate per 1,000",9
State,Louisiana,2004,"Rate per 1,000",4
State,Kentucky,2004,"Rate per 1,000",7
State,Kansas,2004,"Rate per 1,000",9
State,Iowa,2004,"Rate per 1,000",8
State,Indiana,2004,"Rate per 1,000",6
State,Illinois,2004,"Rate per 1,000",6
State,Hawaii,2004,"Rate per 1,000",10
State,Idaho,2004,"Rate per 1,000",4
State,Georgia,2004,"Rate per 1,000",6
City,District of Columbia,2004,"Rate per 1,000",22
State,Florida,2004,"Rate per 1,000",7
State,Delaware,2004,"Rate per 1,000",4
State,Connecticut,2004,"Rate per 1,000",8
State,Colorado,2004,"Rate per 1,000",7
State,California,2004,"Rate per 1,000",9
State,Arkansas,2004,"Rate per 1,000",5
State,Arizona,2004,"Rate per 1,000",6
State,Alaska,2004,"Rate per 1,000",10
State,Alabama,2004,"Rate per 1,000",5
Nation,United States,2004,"Rate per 1,000",7
Nation,United States,2005,"Rate per 1,000",7
State,Alabama,2005,"Rate per 1,000",6
State,Alaska,2005,"Rate per 1,000",10
State,Arizona,2005,"Rate per 1,000",6
State,Arkansas,2005,"Rate per 1,000",5
State,California,2005,"Rate per 1,000",8
State,Connecticut,2005,"Rate per 1,000",8
State,Colorado,2005,"Rate per 1,000",7
State,Delaware,2005,"Rate per 1,000",5
State,Florida,2005,"Rate per 1,000",7
City,District of Columbia,2005,"Rate per 1,000",22
State,Georgia,2005,"Rate per 1,000",6
State,Idaho,2005,"Rate per 1,000",5
State,Hawaii,2005,"Rate per 1,000",9
State,Illinois,2005,"Rate per 1,000",6
State,Indiana,2005,"Rate per 1,000",7
State,Iowa,2005,"Rate per 1,000",10
State,Kansas,2005,"Rate per 1,000",8
State,Kentucky,2005,"Rate per 1,000",7
State,Louisiana,2005,"Rate per 1,000",4
State,Maine,2005,"Rate per 1,000",8
State,Maryland,2005,"Rate per 1,000",8
State,Michigan,2005,"Rate per 1,000",8
State,Massachusetts,2005,"Rate per 1,000",8
State,Minnesota,2005,"Rate per 1,000",6
State,Missouri,2005,"Rate per 1,000",8
State,Mississippi,2005,"Rate per 1,000",4
State,Montana,2005,"Rate per 1,000",10
State,Nevada,2005,"Rate per 1,000",7
State,Nebraska,2005,"Rate per 1,000",14
State,New Hampshire,2005,"Rate per 1,000",4
State,New Jersey,2005,"Rate per 1,000",5
State,New Mexico,2005,"Rate per 1,000",5
State,New York,2005,"Rate per 1,000",7
State,North Carolina,2005,"Rate per 1,000",5
State,North Dakota,2005,"Rate per 1,000",9
State,Ohio,2005,"Rate per 1,000",6
State,Oklahoma,2005,"Rate per 1,000",13
State,Pennsylvania,2005,"Rate per 1,000",8
State,Oregon,2005,"Rate per 1,000",13
State,Rhode Island,2005,"Rate per 1,000",10
State,South Dakota,2005,"Rate per 1,000",9
State,South Carolina,2005,"Rate per 1,000",5
State,Tennessee,2005,"Rate per 1,000",6
State,Utah,2005,"Rate per 1,000",3
State,Texas,2005,"Rate per 1,000",5
State,Vermont,2005,"Rate per 1,000",11
State,Virginia,2005,"Rate per 1,000",4
State,Washington,2005,"Rate per 1,000",7
State,West Virginia,2005,"Rate per 1,000",11
State,Wisconsin,2005,"Rate per 1,000",6
State,Wyoming,2005,"Rate per 1,000",10
State,Wyoming,2005,Number,1241
State,Wisconsin,2005,Number,8103
State,West Virginia,2005,Number,4260
State,Washington,2005,Number,10061
State,Virginia,2005,Number,7022
State,Vermont,2005,Number,1435
State,Utah,2005,Number,2283
State,Texas,2005,Number,28881
State,Tennessee,2005,Number,8996
State,South Dakota,2005,Number,1704
State,South Carolina,2005,Number,4757
State,Rhode Island,2005,Number,2484
State,Pennsylvania,2005,Number,21597
State,Oregon,2005,Number,11012
State,Oklahoma,2005,Number,11392
State,Ohio,2005,Number,17421
State,North Dakota,2005,Number,1369
State,North Carolina,2005,Number,10654
State,New York,2005,Number,30416
State,New Mexico,2005,Number,2316
State,New Jersey,2005,Number,11175
State,New Hampshire,2005,Number,1177
State,Nevada,2005,Number,4619
State,Nebraska,2005,Number,6207
State,Montana,2005,Number,2222
State,Missouri,2005,Number,11422
State,Mississippi,2005,Number,3268
State,Minnesota,2005,Number,6976
State,Michigan,2005,Number,20488
State,Massachusetts,2005,Number,12119
State,Maryland,2005,Number,10850
State,Maine,2005,Number,2309
State,Louisiana,2005,Number,4833
State,Kentucky,2005,Number,7203
State,Kansas,2005,Number,5831
State,Iowa,2005,Number,6789
State,Indiana,2005,Number,11236
State,Illinois,2005,Number,19370
State,Idaho,2005,Number,1818
State,Hawaii,2005,Number,2745
State,Georgia,2005,Number,13956
State,Florida,2005,Number,29292
City,District of Columbia,2005,Number,2512
State,Delaware,2005,Number,959
State,Connecticut,2005,Number,7022
State,Colorado,2005,Number,8106
State,California,2005,Number,79602
State,Arkansas,2005,Number,3238
State,Arizona,2005,Number,9681
State,Alaska,2005,Number,1788
State,Alabama,2005,Number,6899
Nation,United States,2005,Number,503116
Nation,United States,2006,Number,502497
State,Alabama,2006,Number,7147
State,Alaska,2006,Number,2017
State,Arizona,2006,Number,9725
State,Arkansas,2006,Number,3434
State,California,2006,Number,77525
State,Colorado,2006,Number,8046
State,Connecticut,2006,Number,7431
State,Delaware,2006,Number,1068
City,District of Columbia,2006,Number,2356
State,Florida,2006,Number,29209
State,Georgia,2006,Number,13175
State,Hawaii,2006,Number,2355
State,Idaho,2006,Number,1850
State,Illinois,2006,Number,18306
State,Indiana,2006,Number,11375
State,Iowa,2006,Number,9034
State,Kansas,2006,Number,6385
State,Kentucky,2006,Number,7592
State,Louisiana,2006,Number,5213
State,Maine,2006,Number,2076
State,Maryland,2006,Number,11467
State,Massachusetts,2006,Number,11344
State,Michigan,2006,Number,20134
State,Minnesota,2006,Number,7156
State,Mississippi,2006,Number,3203
State,Missouri,2006,Number,10173
State,Montana,2006,Number,1961
State,Nebraska,2006,Number,6163
State,Nevada,2006,Number,5044
State,New Hampshire,2006,Number,1144
State,New Jersey,2006,Number,10547
State,New Mexico,2006,Number,2356
State,New York,2006,Number,29931
State,North Carolina,2006,Number,11078
State,North Dakota,2006,Number,1331
State,Ohio,2006,Number,16593
State,Oklahoma,2006,Number,11815
